"inv_id" "sim_gen" "freq" "freq_p1" "freq_p2" "num_qtns" "mean_qtnSelCoef" "sd_qtnSelCoef" "mean_qtnDom" "sd_qtnDom" "inv_FST" "inv_originGen" "inv_pos" "inv_end" "inv_length"
968144 4600 0.377 0.3735 0.3805 88 -0.0000853522 0.0021 0 0 0.0000521563 1150 1540600 1575664 35065
968144 6400 0.205 0.1985 0.2115 41 -0.000107822 0.00223303 0 0 0.000259242 1150 1540600 1575664 35065
968144 4200 0.5415 0.5355 0.5475 115 0.000303139 0.00198169 0 0 0.000144999 1150 1540600 1575664 35065
968144 6600 0.3155 0.3145 0.3165 61 -0.000429506 0.00209662 0 0 0.00000463049 1150 1540600 1575664 35065
968144 3400 0.5075 0.4975 0.5175 89 -0.000183802 0.0023231 0 0 0.00040009 1150 1540600 1575664 35065
972345 2000 0.0265 0.028 0.025 3 0.00212345 0.000745578 0 0 0 1155 1523297 1536932 13636
972345 1800 0.108 0.104 0.112 10 0.000467225 0.00169341 0 0 0.000166085 1155 1523297 1536932 13636
972345 1200 0.003 0.0035 0.0025 1 0.00252291 0 0 0 0 1155 1523297 1536932 13636
972345 1600 0.05875 0.057 0.0605 4 0.00192651 0.00124048 0 0 0.0000553813 1155 1523297 1536932 13636
972345 1400 0.04025 0.0415 0.039 3 0.00132788 0.00113688 0 0 0 1155 1523297 1536932 13636
975668 1200 0.00075 0.001 0.0005 5 -0.000964531 0.00136309 0 0 0 1159 1313505 1340168 26664
976512 1200 0.00025 0.0005 0 1 -0.00181563 0 0 0 0 1160 1995069 1996549 1481
981548 6400 0.305 0.3125 0.2975 34 -0.000222421 0.00186685 0 0 0.000265361 1166 36870 48067 11198
981548 8200 0.8375 0.8375 0.8375 54 0.000268245 0.0018748 0 0 0.000000000000000222045 1166 36870 48067 11198
981548 1200 0.00575 0.0085 0.003 0 0 0 0 0 0 1166 36870 48067 11198
981548 5200 0.427 0.4415 0.4125 20 0.0000436885 0.00193343 0 0 0.000859317 1166 36870 48067 11198
981548 6800 0.50225 0.499 0.5055 31 0.00041635 0.00214621 0 0 0.0000422509 1166 36870 48067 11198
981548 2000 0.0745 0.0795 0.0695 5 -0.00029111 0.000877988 0 0 0.000362583 1166 36870 48067 11198
981548 4000 0.2055 0.2085 0.2025 14 0.000432176 0.00188568 0 0 0.0000551235 1166 36870 48067 11198
981548 4600 0.148 0.1445 0.1515 11 -0.000202668 0.000993142 0 0 0.0000971482 1166 36870 48067 11198
981548 7400 0.4565 0.458 0.455 25 -0.000169148 0.00196269 0 0 0.00000906864 1166 36870 48067 11198
981548 1800 0.0185 0.0155 0.0215 0 0 0 0 0 0 1166 36870 48067 11198
981548 1600 0.056 0.054 0.058 2 0.000462463 0.00221232 0 0 0.0000756659 1166 36870 48067 11198
981548 4400 0.15975 0.17 0.1495 15 -0.000373236 0.00182774 0 0 0.000782705 1166 36870 48067 11198
981548 7000 0.35225 0.3535 0.351 29 0.0000482904 0.00172845 0 0 0.00000684797 1166 36870 48067 11198
981548 8400 0.86225 0.862 0.8625 63 0.0000122978 0.00198976 0 0 0.000000526205 1166 36870 48067 11198
981548 9200 0.902 0.91 0.894 55 0.000248929 0.00182319 0 0 0.000724015 1166 36870 48067 11198
981548 3800 0.1755 0.164 0.187 15 0.0000416749 0.00206433 0 0 0.000913961 1166 36870 48067 11198
981548 6600 0.34825 0.3375 0.359 25 0.000226923 0.00204761 0 0 0.000509149 1166 36870 48067 11198
981548 9400 0.92725 0.926 0.9285 73 0.0000784877 0.00199559 0 0 0.0000231628 1166 36870 48067 11198
981548 8800 0.90975 0.9105 0.909 55 0.0000694021 0.00192601 0 0 0.00000685099 1166 36870 48067 11198
981548 3000 0.23175 0.2385 0.225 21 -0.000437656 0.00181539 0 0 0.000255909 1166 36870 48067 11198
981548 4800 0.2165 0.236 0.197 20 -0.000649411 0.00159661 0 0 0.00224167 1166 36870 48067 11198
