sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
20400 37 0.406465 0.429317 0.383613 0.406914 0.406016 0.711733 0.378047 0.398331 0.707958 0.688432 0.388947 -0.351835 0.720354
20600 32 0.419767 0.444151 0.395382 0.42085 0.418683 0.71993 0.379929 0.418678 0.724259 0.694461 0.387491 -0.362277 0.730469
20800 24 0.432902 0.453037 0.412766 0.433066 0.432737 0.726716 0.383619 0.430215 0.744282 0.706416 0.39351 -0.386688 0.759987
21000 38 0.434016 0.445529 0.422502 0.43313 0.434902 0.722786 0.385887 0.432699 0.752226 0.712159 0.39772 -0.401211 0.777669
21200 28 0.430359 0.419069 0.441648 0.429624 0.431093 0.710618 0.396143 0.400012 0.772584 0.722642 0.392354 -0.423314 0.755028
21400 27 0.420258 0.416921 0.423595 0.417427 0.42309 0.706052 0.384549 0.39301 0.731681 0.71222 0.390968 -0.395806 0.746769
21600 26 0.41939 0.431218 0.407563 0.419829 0.418951 0.714345 0.384034 0.407659 0.735014 0.702078 0.391665 -0.380447 0.745183
21800 32 0.40657 0.411919 0.401221 0.405924 0.407216 0.702725 0.385784 0.391349 0.739443 0.698021 0.388501 -0.372519 0.742392
22000 25 0.432452 0.433165 0.431739 0.433203 0.431702 0.71721 0.39419 0.424965 0.776499 0.715747 0.392546 -0.419255 0.772
22200 35 0.437746 0.492246 0.383247 0.436683 0.438809 0.745855 0.372591 0.479355 0.726362 0.692418 0.402951 -0.361738 0.776685
22400 35 0.425877 0.429714 0.422041 0.426066 0.425688 0.713886 0.386916 0.411369 0.737347 0.70986 0.387999 -0.391064 0.746252
22600 36 0.423075 0.404553 0.441597 0.420666 0.425483 0.698719 0.38359 0.369694 0.731357 0.719649 0.383476 -0.423733 0.738233
22800 39 0.438737 0.451736 0.425738 0.43854 0.438934 0.72456 0.379383 0.41619 0.728141 0.711759 0.388231 -0.408917 0.747692
23000 41 0.458339 0.463018 0.45366 0.457155 0.459523 0.731389 0.382528 0.447334 0.738089 0.727894 0.386138 -0.434811 0.746273
23200 36 0.45486 0.450355 0.459366 0.454476 0.455245 0.724481 0.389403 0.453214 0.777082 0.729371 0.387525 -0.443027 0.781118
23400 39 0.416279 0.415654 0.416904 0.417126 0.415432 0.707173 0.395803 0.397998 0.782979 0.706951 0.394901 -0.41399 0.783429
23600 34 0.447885 0.462047 0.433723 0.448541 0.447229 0.732437 0.38762 0.440733 0.76175 0.717619 0.394501 -0.428525 0.780899
23800 39 0.41962 0.397433 0.441806 0.418551 0.420689 0.700049 0.406295 0.383287 0.803582 0.723305 0.397 -0.433674 0.79024
24000 33 0.444563 0.448332 0.440794 0.442976 0.44615 0.723854 0.386968 0.432783 0.762183 0.721672 0.39394 -0.429602 0.7683
24200 30 0.482052 0.471517 0.492587 0.480467 0.483637 0.736167 0.381143 0.449633 0.753832 0.748286 0.380837 -0.480645 0.748856
24400 35 0.424904 0.41372 0.436088 0.425193 0.424614 0.707103 0.401503 0.410213 0.807065 0.717997 0.394992 -0.438362 0.791032
24600 36 0.417562 0.418883 0.416242 0.418783 0.416341 0.709478 0.397414 0.405006 0.78623 0.706937 0.394038 -0.407391 0.785174
24800 35 0.436056 0.436627 0.435485 0.434566 0.437546 0.716399 0.388496 0.423047 0.767916 0.717319 0.392037 -0.421556 0.786597
25000 34 0.443437 0.429897 0.456976 0.443692 0.443181 0.715456 0.397521 0.425347 0.792616 0.72874 0.389307 -0.451105 0.784267
25200 40 0.436354 0.410592 0.462117 0.436115 0.436593 0.706003 0.400651 0.41074 0.786369 0.732004 0.38478 -0.43935 0.756496
25400 40 0.413921 0.43124 0.396603 0.416664 0.411179 0.715682 0.394023 0.427489 0.772289 0.695621 0.393971 -0.38001 0.765863
25600 40 0.438765 0.451693 0.425836 0.442104 0.435426 0.727344 0.392745 0.425437 0.778682 0.711077 0.392901 -0.440425 0.796754
25800 37 0.446156 0.452653 0.43966 0.446965 0.445347 0.724945 0.386649 0.432469 0.774034 0.71764 0.388117 -0.443982 0.778742
26000 41 0.451186 0.483868 0.418504 0.453706 0.448666 0.742401 0.378071 0.463617 0.735914 0.707199 0.392578 -0.418334 0.781593
26200 43 0.393918 0.395227 0.392609 0.396829 0.391007 0.6989 0.403396 0.366027 0.792648 0.69468 0.397156 -0.390207 0.779967
26400 43 0.439743 0.445456 0.43403 0.442734 0.436751 0.72307 0.394233 0.426386 0.804457 0.714366 0.391511 -0.443937 0.79495
26600 35 0.460868 0.440353 0.481384 0.461408 0.460329 0.72061 0.399677 0.436259 0.825189 0.740586 0.387043 -0.496557 0.798013
26800 37 0.402299 0.409947 0.39465 0.400627 0.403971 0.702394 0.396108 0.402341 0.788257 0.696418 0.401499 -0.381572 0.809711
