sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
22200 32 0.401494 0.421836 0.381153 0.40299 0.399998 0.709096 0.392286 0.408411 0.789314 0.687259 0.399484 -0.382167 0.796158
22400 29 0.398753 0.419257 0.37825 0.395692 0.401815 0.702803 0.382922 0.422024 0.768814 0.685361 0.400415 -0.364595 0.802587
22600 32 0.411554 0.425281 0.397827 0.409437 0.413671 0.707856 0.386323 0.414985 0.780628 0.696246 0.395097 -0.384068 0.785676
22800 30 0.372678 0.366618 0.378737 0.370915 0.37444 0.679364 0.400991 0.363887 0.801686 0.687186 0.40246 -0.367173 0.808591
23000 34 0.418048 0.441038 0.395058 0.417478 0.418618 0.718063 0.384503 0.435808 0.760558 0.695643 0.398056 -0.384434 0.797046
23200 26 0.452214 0.469081 0.435346 0.450005 0.454422 0.73002 0.373017 0.457176 0.749687 0.715361 0.386877 -0.432624 0.767504
23400 30 0.424172 0.410283 0.438061 0.42319 0.425154 0.703418 0.397434 0.410938 0.797657 0.718289 0.390202 -0.425978 0.778551
23600 34 0.458748 0.460994 0.456502 0.458834 0.458662 0.728217 0.380133 0.438759 0.756162 0.725884 0.384666 -0.462816 0.777593
23800 37 0.410325 0.39293 0.42772 0.407153 0.413497 0.690987 0.392493 0.391479 0.787786 0.711553 0.390624 -0.421241 0.783229
24000 38 0.424914 0.408156 0.441672 0.424334 0.425495 0.69972 0.389136 0.395085 0.780825 0.717059 0.383294 -0.431311 0.766601
24200 39 0.411983 0.408771 0.415195 0.410559 0.413407 0.698269 0.382967 0.377971 0.759406 0.702905 0.387008 -0.415103 0.766442
24400 36 0.430327 0.452579 0.408075 0.431462 0.429192 0.723946 0.384807 0.447474 0.76876 0.700559 0.394872 -0.418034 0.79813
24600 32 0.411631 0.39661 0.426651 0.409815 0.413446 0.692959 0.38885 0.382925 0.779347 0.709795 0.387649 -0.423546 0.772269
24800 34 0.40586 0.401616 0.410104 0.405293 0.406426 0.695875 0.393888 0.397627 0.796927 0.700686 0.396599 -0.421133 0.825764
25000 34 0.4258 0.439775 0.411826 0.425884 0.425716 0.715504 0.387043 0.436335 0.792172 0.701445 0.394393 -0.411714 0.81813
25200 40 0.423939 0.442582 0.405297 0.422293 0.425585 0.716715 0.382624 0.447147 0.785183 0.699718 0.397362 -0.387385 0.805618
25400 32 0.439868 0.422482 0.457254 0.437664 0.442072 0.706115 0.388677 0.438926 0.792595 0.725705 0.383067 -0.4371 0.772498
25600 34 0.403053 0.412375 0.393731 0.405112 0.400994 0.703717 0.401261 0.418251 0.832747 0.692336 0.401022 -0.404133 0.83834
25800 33 0.423353 0.434646 0.412061 0.422545 0.424161 0.709858 0.376048 0.437931 0.766935 0.699373 0.385823 -0.401012 0.784139
26000 35 0.423455 0.474596 0.372313 0.423617 0.423293 0.732474 0.374597 0.478453 0.761029 0.681171 0.399323 -0.363995 0.819124
26200 32 0.470074 0.463493 0.476655 0.470534 0.469614 0.728635 0.379648 0.456836 0.773014 0.734756 0.37782 -0.486634 0.773416
26400 39 0.4061 0.406991 0.405209 0.405297 0.406903 0.698433 0.391603 0.407059 0.796248 0.698346 0.394444 -0.39979 0.80756
26600 36 0.438712 0.422767 0.454657 0.436636 0.440788 0.705726 0.384552 0.429588 0.77881 0.723747 0.381064 -0.445057 0.768457
26800 39 0.396389 0.415399 0.377379 0.396653 0.396126 0.702551 0.390912 0.410593 0.805624 0.683278 0.399095 -0.381633 0.817975
27000 40 0.444592 0.413539 0.475645 0.443387 0.445796 0.699604 0.393724 0.417424 0.840639 0.731862 0.377537 -0.499304 0.796857
27200 39 0.430938 0.412983 0.448892 0.43022 0.431655 0.700222 0.390305 0.416626 0.80218 0.718894 0.381298 -0.455417 0.794246
27400 33 0.463248 0.45965 0.466845 0.464458 0.462037 0.72515 0.383657 0.451801 0.801714 0.727537 0.381603 -0.494663 0.813325
27600 33 0.433161 0.419709 0.446613 0.437005 0.429317 0.706715 0.400336 0.4172 0.843712 0.716323 0.382271 -0.464678 0.80625
27800 41 0.459686 0.460447 0.458924 0.460599 0.458772 0.725116 0.380777 0.454693 0.793873 0.723441 0.380651 -0.474686 0.800521
28000 33 0.430526 0.414957 0.446094 0.42956 0.431492 0.701685 0.388225 0.410912 0.789366 0.718219 0.384101 -0.455319 0.792666
28200 41 0.409125 0.430401 0.387848 0.410454 0.407795 0.710629 0.391926 0.433425 0.812597 0.688022 0.397689 -0.410604 0.829343
28400 43 0.441112 0.411187 0.471037 0.441817 0.440407 0.700152 0.394285 0.396932 0.825846 0.729372 0.381127 -0.512477 0.820255
28600 37 0.406204 0.412613 0.399795 0.407273 0.405134 0.701402 0.398043 0.422268 0.842954 0.693924 0.395126 -0.416836 0.832914
28800 43 0.441544 0.441457 0.441631 0.441196 0.441893 0.712794 0.382716 0.447921 0.812856 0.71323 0.383315 -0.463683 0.809388
29000 41 0.434669 0.453013 0.416325 0.436242 0.433096 0.721199 0.385145 0.476138 0.803812 0.701282 0.391622 -0.429833 0.834367
29200 32 0.389794 0.374153 0.405435 0.388684 0.390904 0.680418 0.404675 0.389361 0.864428 0.697169 0.400141 -0.423733 0.847591
29400 41 0.436014 0.441317 0.43071 0.433385 0.438643 0.712313 0.379626 0.454971 0.802332 0.709638 0.387813 -0.419525 0.812726
29600 36 0.406223 0.395627 0.416819 0.406019 0.406427 0.691593 0.396155 0.419181 0.826081 0.702393 0.394757 -0.420579 0.837732
29800 37 0.434702 0.429639 0.439765 0.433745 0.435659 0.70784 0.386148 0.425359 0.809415 0.71386 0.38826 -0.469227 0.814879
30000 48 0.439477 0.433559 0.445395 0.438482 0.440472 0.709316 0.385299 0.440711 0.820907 0.716229 0.382049 -0.456392 0.796209
30200 41 0.428315 0.422014 0.434616 0.427858 0.428772 0.703679 0.387033 0.426801 0.805569 0.710437 0.389437 -0.44409 0.830151
30400 38 0.406938 0.444428 0.369449 0.408274 0.405602 0.7177 0.389366 0.463417 0.81878 0.678875 0.408257 -0.384521 0.871225
30600 35 0.446467 0.409577 0.483357 0.44682 0.446114 0.699565 0.39935 0.424448 0.84988 0.736102 0.37796 -0.496523 0.809646
30800 33 0.454559 0.442412 0.466705 0.453863 0.455255 0.71548 0.391227 0.453073 0.847876 0.728323 0.384 -0.491385 0.821019
31000 38 0.402688 0.39206 0.413316 0.402686 0.40269 0.690651 0.401121 0.398635 0.845691 0.70128 0.395155 -0.425736 0.834361
31200 30 0.404968 0.422166 0.387769 0.40559 0.404345 0.705772 0.392096 0.427407 0.815424 0.687951 0.397979 -0.391551 0.829678
31400 32 0.427253 0.429827 0.424679 0.431224 0.423281 0.710732 0.394325 0.436043 0.830256 0.704186 0.389354 -0.455469 0.83753
31600 32 0.461159 0.478795 0.443522 0.461785 0.460533 0.732236 0.371 0.49854 0.776167 0.713974 0.380206 -0.451184 0.795354
31800 34 0.453888 0.445202 0.462574 0.452563 0.455213 0.716009 0.387977 0.466527 0.838954 0.72602 0.385346 -0.471876 0.827909
32000 28 0.413113 0.408749 0.417478 0.415624 0.410603 0.697835 0.393129 0.41221 0.8324 0.699689 0.386534 -0.438163 0.821378
32200 33 0.444309 0.447241 0.441378 0.446876 0.441743 0.719741 0.391114 0.449788 0.832426 0.714243 0.385665 -0.457667 0.824456
32400 34 0.440803 0.425865 0.455741 0.439289 0.442316 0.70534 0.384378 0.427591 0.803559 0.721792 0.381329 -0.484171 0.793199
32600 37 0.432906 0.428712 0.4371 0.433201 0.432611 0.707999 0.389984 0.441196 0.812217 0.711898 0.385582 -0.441699 0.820346
32800 27 0.43771 0.405149 0.470272 0.436028 0.439392 0.696272 0.394247 0.394908 0.841309 0.730516 0.383822 -0.487755 0.813434
33000 28 0.425263 0.442273 0.408253 0.422847 0.427679 0.713601 0.385435 0.465435 0.828708 0.699007 0.399669 -0.414467 0.845596
33200 29 0.411494 0.429312 0.393676 0.411147 0.411841 0.709052 0.390657 0.440262 0.823982 0.691581 0.40096 -0.400912 0.842181
33400 23 0.426206 0.432824 0.419589 0.425703 0.42671 0.711406 0.385912 0.436774 0.800144 0.705291 0.39566 -0.424611 0.826462
33600 33 0.428097 0.410728 0.445465 0.428438 0.427755 0.700025 0.39517 0.403025 0.831449 0.717052 0.388604 -0.483583 0.820875
33800 39 0.425631 0.443746 0.407516 0.427013 0.42425 0.717367 0.387866 0.453621 0.814027 0.697871 0.395007 -0.425741 0.823766
34000 36 0.426365 0.419755 0.432976 0.424484 0.428246 0.702948 0.39009 0.421929 0.827094 0.71144 0.390144 -0.448498 0.814792
34200 32 0.41431 0.418543 0.410077 0.41539 0.41323 0.704968 0.395373 0.417332 0.826236 0.699655 0.396154 -0.43867 0.827443
34400 32 0.426227 0.398517 0.453937 0.427188 0.425266 0.694163 0.399895 0.403968 0.847633 0.720912 0.383485 -0.468935 0.806433
34600 27 0.459795 0.479111 0.440479 0.461697 0.457893 0.733899 0.375168 0.510491 0.773389 0.712681 0.380465 -0.435243 0.795958
34800 27 0.439958 0.441527 0.43839 0.438451 0.441466 0.714219 0.385264 0.447329 0.81705 0.714158 0.389915 -0.448352 0.822945
35000 30 0.432915 0.450373 0.415457 0.432792 0.433038 0.720181 0.387223 0.463724 0.813931 0.702846 0.391934 -0.412136 0.814502
35200 33 0.422876 0.434386 0.411367 0.424263 0.421489 0.712515 0.394639 0.444547 0.833186 0.699618 0.391059 -0.413158 0.816668
35400 28 0.44282 0.461151 0.42449 0.444232 0.441408 0.726073 0.386706 0.487636 0.825322 0.70633 0.392957 -0.434636 0.840284
