sim_gen inv_id freq freq_p1 freq_p2 num_qtns mean_qtnSelCoef sd_qtnSelCoef mean_qtnDom sd_qtnDom inv_FST 
1800 1505659 0.00025 0.0005 0 5 -0.000769245 0.00244458 0 0 0
1800 1510679 0.00025 0 0.0005 1 0.000394298 0 0 0 0
1800 1513985 0.00025 0 0.0005 2 -0.00143643 0.0020797 0 0 0
1800 1513986 0.00025 0 0.0005 8 7.23399e-05 0.00154902 0 0 0
1800 1513987 0.0005 0 0.001 6 -0.000645135 0.0021981 0 0 0
1800 1514834 0.00025 0.0005 0 1 -0.00130667 0 0 0 0
2000 1188023 0.099 0.1 0.098 14 0.000379128 0.00122954 0 0 1.12109e-05
2000 1682379 0.00025 0 0.0005 7 -0.000264072 0.00282546 0 0 0
2000 62541 0.16075 0.1645 0.157 45 0.00016947 0.00196353 0 0 0.000104237
2000 1552780 0.02525 0.0265 0.024 9 0.000335571 0.00122003 0 0 0
2000 1676449 0.002 0.0025 0.0015 5 0.000786676 0.00115971 0 0 0
2000 1657161 0.03075 0.0325 0.029 2 4.09323e-05 0.00191545 0 0 0
2000 961734 0.057 0.0555 0.0585 18 -0.000320134 0.00155977 0 0 4.18597e-05
2000 1659582 0.008 0.0085 0.0075 1 0.00142455 0 0 0 0
2000 419486 0.0025 0.001 0.004 0 0 0 0 0 0
2000 736668 0.0035 0.0025 0.0045 7 -0.000459198 0.00135157 0 0 0
2000 1053562 0.0945 0.0995 0.0895 9 0.000744779 0.00176841 0 0 0.000292159
2000 1269595 0.074 0.071 0.077 12 4.49536e-06 0.00195524 0 0 0.000131341
2000 258285 0.3855 0.386 0.385 59 0.000375066 0.00205267 0 0 1.05534e-06
2000 1678146 0.001 0.0005 0.0015 5 0.00119501 0.00191343 0 0 0
2000 1547744 0.0205 0.0175 0.0235 2 0.00118535 0.00194519 0 0 0
2000 1188903 0.07375 0.0835 0.064 10 -0.000441153 0.00273552 0 0 0.00139161
2000 1584734 0.00275 0.0035 0.002 3 -0.00150907 0.000548426 0 0 0
2000 1156989 0.2105 0.223 0.198 25 9.3116e-05 0.00246719 0 0 0.00094019
2000 1378267 0.093 0.0855 0.1005 35 -0.000187808 0.00204211 0 0 0.000666856
2000 1308902 0.097 0.091 0.103 20 0.000373548 0.00244374 0 0 0.000411001
2000 1675636 0.00175 0 0.0035 0 0 0 0 0 0
2000 1422248 0.0155 0.0145 0.0165 13 -0.000103697 0.00131226 0 0 0
2000 1574680 0.0035 0.004 0.003 0 0 0 0 0 0
2000 1682378 0.00025 0 0.0005 6 -0.00124661 0.0023799 0 0 0
2000 1657962 0.00175 0.002 0.0015 2 -0.00115015 0.00156143 0 0 0
2000 1645239 0.00075 0.0005 0.001 4 -0.000990591 0.00173732 0 0 0
2000 1638441 0.011 0.01 0.012 0 0 0 0 0 0
2000 1679827 0.00025 0.0005 0 0 0 0 0 0 0
2000 1679829 0.0005 0 0.001 3 0.000557095 0.000988395 0 0 0
2000 1683160 0.00025 0 0.0005 6 0.000503346 0.0018078 0 0 0
2200 1188023 0.063 0.061 0.065 14 -0.000678885 0.00130875 0 0 6.7761e-05
2200 1691631 0.00375 0.004 0.0035 5 0.00101382 0.000955944 0 0 0
2200 62541 0.12575 0.14 0.1115 43 -0.000137194 0.00202145 0 0 0.00184708
2200 1756539 0.0455 0.0455 0.0455 1 -0.00082603 0 0 0 0
2200 1676449 0.0025 0.003 0.002 6 0.00102013 0.00118446 0 0 0
2200 1825565 0.004 0.0055 0.0025 5 -0.0003161 0.00214406 0 0 0
2200 1790449 0.0365 0.036 0.037 9 0.000353521 0.00232166 0 0 0
2200 1659582 0.07825 0.0725 0.084 6 -0.00134686 0.00184692 0 0 0.000458393
2200 1308902 0.0455 0.046 0.045 20 0.0001437 0.00142353 0 0 0
2200 1687460 0.04375 0.038 0.0495 1 0.00154657 0 0 0 0
2200 1053562 0.0335 0.036 0.031 11 0.00122405 0.00135049 0 0 0
2200 1269595 0.08875 0.0895 0.088 12 0.000379291 0.00214004 0 0 6.95531e-06
2200 258285 0.5405 0.524 0.557 110 4.91612e-05 0.00184184 0 0 0.00109619
2200 1422248 0.0575 0.0645 0.0505 16 -0.000182494 0.00203267 0 0 0.000904163
2200 1842624 0.0035 0.0035 0.0035 6 0.000120207 0.00174293 0 0 0
2200 1188903 0.032 0.0355 0.0285 9 -0.00148822 0.00263279 0 0 0
2200 1815487 0.009 0.0075 0.0105 9 -0.00049677 0.00266189 0 0 0
2200 1156989 0.255 0.2425 0.2675 27 0.000378974 0.00206113 0 0 0.000822477
2200 1378267 0.0695 0.074 0.065 36 0.000257909 0.00222554 0 0 0.000313129
2200 1834965 0.00025 0 0.0005 7 -0.000576425 0.00331387 0 0 0
2200 1851020 0.00025 0.0005 0 2 -0.000158086 0.00146111 0 0 0
2200 1831508 0.00025 0.0005 0 8 -0.000601668 0.00311539 0 0 0
2200 1825564 0.00025 0.0005 0 4 0.00173462 0.00145941 0 0 0
2200 1846784 0.0005 0.0005 0.0005 3 -8.35985e-06 0.000850086 0 0 0
2200 1845972 0.00025 0 0.0005 11 0.000192947 0.0032471 0 0 0
2200 1847644 0.00025 0 0.0005 2 -0.000321829 0.00161718 0 0 0
2200 1848511 0.00025 0.0005 0 2 0.000524513 0.00146561 0 0 0
2200 1846783 0.0005 0.001 0 1 0.0023611 0 0 0 0
2200 1849321 0.00125 0.002 0.0005 3 0.00202084 0.0011514 0 0 0
2200 1847643 0.0005 0.0005 0.0005 6 -0.000405724 0.00105471 0 0 0
2200 1848512 0.0005 0.0005 0.0005 0 0 0 0 0 0
2200 1851952 0.00025 0.0005 0 0 0 0 0 0 0
2200 1851953 0.00025 0 0.0005 5 0.000907773 0.001406 0 0 0
2400 1188023 0.0385 0.035 0.042 15 -0.000229898 0.00114752 0 0 0
2400 1954791 0.00225 0.0005 0.004 6 0.000136295 0.00165705 0 0 0
2400 62541 0.1645 0.1655 0.1635 32 5.71757e-05 0.00197454 0 0 7.27592e-06
2400 1756539 0.00725 0.007 0.0075 1 -0.00082603 0 0 0 0
2400 1949782 0.0115 0.0135 0.0095 3 0.000713207 0.00137351 0 0 0
2400 2005153 0.00075 0.0005 0.001 4 0.000328759 0.00160552 0 0 0
2400 1790449 0.05425 0.055 0.0535 18 -0.000552342 0.00248968 0 0 1.09634e-05
2400 1659582 0.19125 0.189 0.1935 20 0.000157255 0.00238713 0 0 3.27302e-05
2400 2016096 0.00125 0.001 0.0015 1 0.00106184 0 0 0 0
2400 1882529 0.008 0.0075 0.0085 8 0.000764069 0.00206086 0 0 0
2400 1053562 0.02475 0.0255 0.024 9 0.000974737 0.00140852 0 0 0
2400 1269595 0.05725 0.047 0.0675 11 0.000227478 0.00211264 0 0 0.0019466
2400 258285 0.6305 0.646 0.615 94 -0.000244461 0.00202522 0 0 0.00103125
2400 2018577 0.00075 0.0005 0.001 2 0.00137954 0.000399706 0 0 0
2400 1932917 0.00725 0.005 0.0095 4 -0.000749829 0.00194009 0 0 0
2400 1188903 0.1085 0.105 0.112 12 -0.000764012 0.0025285 0 0 0.000126644
2400 1815487 0.00525 0.0055 0.005 11 -0.000173985 0.00239958 0 0 0
2400 1156989 0.23475 0.234 0.2355 30 -8.20237e-05 0.00192126 0 0 3.13122e-06
2400 1378267 0.098 0.1 0.096 36 -0.000162329 0.00235653 0 0 4.52509e-05
2400 1988275 0.0075 0.0075 0.0075 0 0 0 0 0 0
2400 2005982 0.0025 0.003 0.002 4 0.00187912 0.000982001 0 0 0
2400 1988274 0.0045 0.0055 0.0035 0 0 0 0 0 0
2400 1890117 0.06025 0.062 0.0585 15 0.000120493 0.00231394 0 0 5.40887e-05
2400 1870552 0.02875 0.0235 0.034 2 -0.000888822 9.32252e-07 0 0 0
2400 1950641 0.00125 0.001 0.0015 10 -0.000511339 0.00158604 0 0 0
2400 2013586 0.002 0.002 0.002 3 0.000929151 0.000537806 0 0 0
2400 2018576 0.001 0.001 0.001 1 0.000462565 0 0 0 0
2400 2017771 0.00025 0 0.0005 8 -0.000284902 0.00198652 0 0 0
2400 2019408 0.00125 0.002 0.0005 9 0.000298802 0.00260326 0 0 0
2400 2020266 0.00025 0.0005 0 5 -0.000821426 0.00153823 0 0 0
2400 2020267 0.00025 0 0.0005 11 0.000343972 0.00241632 0 0 0
2400 2020268 0.00025 0 0.0005 1 0.00187414 0 0 0 0
2600 1188023 0.0125 0.0125 0.0125 9 -0.000755445 0.000925146 0 0 0
2600 2183637 0.001 0.0015 0.0005 6 9.1226e-05 0.00201199 0 0 0
2600 62541 0.02375 0.023 0.0245 9 0.000333565 0.00143501 0 0 0
2600 2110369 0.00175 0.001 0.0025 5 -0.000726589 0.0020105 0 0 0
2600 2168618 0.003 0.0025 0.0035 11 0.0010778 0.00234226 0 0 0
2600 2026968 0.00875 0.01 0.0075 0 0 0 0 0 0
2600 1790449 0.0885 0.095 0.082 17 3.99423e-05 0.00238241 0 0 0.000523753
2600 1659582 0.0855 0.082 0.089 8 -0.000725511 0.00188327 0 0 0.00015667
2600 2024443 0.004 0.003 0.005 16 0.000191222 0.00166486 0 0 0
2600 2173747 0.00275 0.002 0.0035 1 -0.00193674 0 0 0 0
2600 1053562 0.03 0.033 0.027 7 0.000965188 0.00162559 0 0 0
2600 1269595 0.08875 0.0955 0.082 19 -0.000245429 0.00276119 0 0 0.00056338
2600 258285 0.565 0.565 0.565 88 5.24904e-05 0.00190003 0 0 -2.22045e-16
2600 2143248 0.01575 0.0155 0.016 10 -0.000701711 0.00154929 0 0 0
2600 2033128 0.04825 0.0465 0.05 12 -0.00072646 0.00212777 0 0 0
2600 1188903 0.18125 0.17 0.1925 19 -0.000883566 0.00208132 0 0 0.000852856
2600 1815487 0.01025 0.0085 0.012 11 -0.000275104 0.00254663 0 0 0
2600 1156989 0.16125 0.1645 0.158 10 0.000149538 0.000901235 0 0 7.8097e-05
