"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3385604 0.00000001 0.001 3 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385605 0.00000001 0.001 3 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385606 0.00000001 0.001 3 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385607 0.00000001 0.001 3 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385608 0.00000001 0.001 3 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385609 0.00000001 0.001 3 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385610 0.00000001 0.001 3 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385611 0.00000001 0.001 3 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385612 0.00000001 0.001 3 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385613 0.00000001 0.001 3 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385614 0.00000001 0.001 3 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385615 0.00000001 0.001 3 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385616 0.00000001 0.001 3 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385617 0.00000001 0.001 3 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385618 0.00000001 0.001 3 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385619 0.00000001 0.001 3 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385620 0.00000001 0.001 3 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385621 0.00000001 0.001 3 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385622 0.000000001 0 0.75 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385623 0.000000001 0 0.75 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385624 0.000000001 0 0.75 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385625 0.000000001 0 0.75 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385626 0.000000001 0 0.75 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385627 0.000000001 0 0.75 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385628 0.000000001 0 0.75 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385629 0.000000001 0 0.75 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385630 0.000000001 0 0.75 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385631 0.000000001 0 0.75 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385632 0.000000001 0 0.75 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385633 0.000000001 0 0.75 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385634 0.000000001 0 0.75 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385635 0.000000001 0 0.75 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385636 0.000000001 0 0.75 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385637 0.000000001 0 0.75 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385638 0.000000001 0 0.75 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385639 0.000000001 0 0.75 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385640 0.000000001 0 0.75 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385641 0.000000001 0 0.75 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385642 0.000000001 0 0.75 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385643 0.000000001 0 0.75 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385644 0.000000001 0 0.75 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385645 0.000000001 0 0.75 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385646 0.000000001 0 0.75 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385647 0.000000001 0 0.75 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385648 0.000000001 0 0.75 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385649 0.000000001 0 0.75 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385650 0.000000001 0 0.75 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385651 0.000000001 0 0.75 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385652 0.000000001 0 1.5 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385653 0.000000001 0 1.5 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385654 0.000000001 0 1.5 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385655 0.000000001 0 1.5 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385656 0.000000001 0 1.5 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385657 0.000000001 0 1.5 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385658 0.000000001 0 1.5 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385659 0.000000001 0 1.5 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385660 0.000000001 0 1.5 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385661 0.000000001 0 1.5 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385662 0.000000001 0 1.5 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385663 0.000000001 0 1.5 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385664 0.000000001 0 1.5 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385665 0.000000001 0 1.5 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385666 0.000000001 0 1.5 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385667 0.000000001 0 1.5 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385668 0.000000001 0 1.5 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385669 0.000000001 0 1.5 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385670 0.000000001 0 1.5 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385671 0.000000001 0 1.5 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385672 0.000000001 0 1.5 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385673 0.000000001 0 1.5 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385674 0.000000001 0 1.5 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385675 0.000000001 0 1.5 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385676 0.000000001 0 1.5 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385677 0.000000001 0 1.5 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385678 0.000000001 0 1.5 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385679 0.000000001 0 1.5 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385680 0.000000001 0 1.5 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385681 0.000000001 0 1.5 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385682 0.000000001 0 3 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385683 0.000000001 0 3 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385684 0.000000001 0 3 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385685 0.000000001 0 3 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385686 0.000000001 0 3 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385687 0.000000001 0 3 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385688 0.000000001 0 3 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385689 0.000000001 0 3 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385690 0.000000001 0 3 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385691 0.000000001 0 3 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385692 0.000000001 0 3 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385693 0.000000001 0 3 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385694 0.000000001 0 3 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385695 0.000000001 0 3 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385696 0.000000001 0 3 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385697 0.000000001 0 3 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385698 0.000000001 0 3 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385699 0.000000001 0 3 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385700 0.000000001 0 3 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385701 0.000000001 0 3 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385702 0.000000001 0 3 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
