"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383417,1e-07,0,1.5,0.002,4,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383418,1e-07,0,1.5,0.002,4,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383419,1e-07,0,1.5,0.002,4,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383420,1e-07,0,1.5,0.002,4,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383421,1e-07,0,1.5,0.002,4,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383422,1e-07,0,1.5,0.002,5,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383423,1e-07,0,1.5,0.002,5,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383424,1e-07,0,1.5,0.002,5,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383425,1e-07,0,1.5,0.002,5,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383426,1e-07,0,1.5,0.002,5,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383427,1e-07,0,1.5,0.002,5,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383428,1e-07,0,1.5,0.002,5,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383429,1e-07,0,1.5,0.002,5,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383430,1e-07,0,1.5,0.002,5,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383431,1e-07,0,1.5,0.002,5,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383432,1e-07,0,1.5,0.2,1,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383433,1e-07,0,1.5,0.2,1,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383434,1e-07,0,1.5,0.2,1,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383435,1e-07,0,1.5,0.2,1,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383436,1e-07,0,1.5,0.2,1,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383437,1e-07,0,1.5,0.2,1,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383438,1e-07,0,1.5,0.2,1,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383439,1e-07,0,1.5,0.2,1,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383440,1e-07,0,1.5,0.2,1,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383441,1e-07,0,1.5,0.2,1,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383442,1e-07,0,1.5,0.2,2,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383443,1e-07,0,1.5,0.2,2,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383444,1e-07,0,1.5,0.2,2,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383445,1e-07,0,1.5,0.2,2,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383446,1e-07,0,1.5,0.2,2,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383447,1e-07,0,1.5,0.2,2,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383448,1e-07,0,1.5,0.2,2,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383449,1e-07,0,1.5,0.2,2,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383450,1e-07,0,1.5,0.2,2,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383451,1e-07,0,1.5,0.2,2,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383452,1e-07,0,1.5,0.2,3,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383453,1e-07,0,1.5,0.2,3,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383454,1e-07,0,1.5,0.2,3,1000,0,0.1,0.1,1,-1,4000,21,1e-06
